"prefix","code","course name","description","credit hours","prereqs","coreqs"
"AE","496","Emerging Topics in Aerospace Engineering","Problems and studies on new topics in Aerospace Engineering.","3","",""
"AFAS","101","Heritage and Values I","Survey that focuses on the organizational structure and missions of the Air Force; officership and professionalism; and includes an introduction to communicative skills. A weekly Leadership Laboratory (LLAB) consisting of Air Force customs and courtesies, health and physical fitness, and drill and ceremonies is mandatory.","1","",""
"AFAS","102","Heritage and Values II","Survey that focuses on the organizational structure and missions of the Air Force; officership and professionalism; and includes an introduction to communicative skills. A weekly Leadership Laboratory (LLAB) consisting of Air Force customs and courtesies, health and physical fitness, and drill and ceremonies is mandatory.","1","",""
"AFAS","103","Leadership Lab I","Includes a study of Air Force customs and courtesies, drill and ceremonies, and giving military commands; instructing, correcting, and evaluating the preceding skills; studying the environment of an Air Force officer; and learning about opportunities available to commissioned officers.","1","",""
"AFAS","104","Leadership Lab II","Includes a study of Air Force customs and courtesies, drill and ceremonies, and giving military commands; instructing, correcting, and evaluating the preceding skills; studying the environment of an Air Force officer; and learning about opportunities available to commissioned officers.","1","",""
"AFAS","201","Team and Leadership Fundamentals I","Focuses on factors contributing to the development of air power from its earliest beginnings through two world wars; the evolution of air power concepts and doctrine; and an assessment of communicative skills. A weekly Leadership Laboratory (LLAB) consisting of Air Force customs and courtesies, Air Force environment, drill and ceremonies, and field training orientation is mandatory.","1","",""
"AFAS","202","Team and Leadership Fundamentals II","Focuses on factors contributing to the development of air power from its earliest beginnings through two world wars; the evolution of air power concepts and doctrine; and an assessment of communicative skills. A weekly Leadership Laboratory (LLAB) consisting of Air Force customs and courtesies, Air Force environment, drill and ceremonies, and field training orientation is mandatory.","1","",""
"AFAS","203","Leadership Laboratory III","Includes a study of Air Force customs and courtesies, drill and ceremonies, and giving military commands; instructing, correcting, and evaluating the preceding skills; studying the environment of an Air Force officer; and learning about opportunities available to commissioned officers.","1","",""
"AFAS","204","Leadership Laboratory IV","Includes a study of Air Force customs and courtesies, drill and ceremonies, and giving military commands; instructing, correcting, and evaluating the preceding skills; studying the environment of an Air Force officer; and learning about opportunities available to commissioned officers.","1","",""
"AFAS","301","Leading People and Effective Communication I","Study of leadership and quality management fundamentals, professional knowledge, leadership ethics, and communicative skills required of an Air Force officer. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied. A mandatory weekly Leadership Laboratory (LLAB) provides advanced leadership experiences in office-type activities and gives students the opportunity to apply leadership and management principles to this course.","3","",""
"AFAS","302","Leading People and Effective Communication II","Study of leadership and quality management fundamentals, professional knowledge, leadership ethics, and communicative skills required of an Air Force officer. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied. A mandatory weekly Leadership Laboratory (LLAB) provides advanced leadership experiences in office-type activities and gives students the opportunity to apply leadership and management principles to this course.","3","",""
"AFAS","303","Leadership Laboratory V","Consists of activities classified as advanced leadership experiences. They involve planning, organizing, staffing, coordinating, directing, and controlling the military activities of the cadet corps; preparation and presentation of briefings and other oral and written communications; and providing interviews, guidance, and information which will increase the understanding, motivation, and performance of other cadets.","0","",""
"AFAS","304","Leadership Laboratory VI","Consists of activities classified as advanced leadership experiences. They involve planning, organizing, staffing, coordinating, directing, and controlling the military activities of the cadet corps; preparation and presentation of briefings and other oral and written communications; and providing interviews, guidance, and information which will increase the understanding, motivation, and performance of other cadets.","0","",""
"AFAS","401","National Security, Leadership Responsibilities, and Commissioning Preparation I","Examines the need for national security, analyzes the evolution and formulation of the American defense policy, strategy, and joint doctrine; investigates the methods for managing conflict; and overviews regional security, arms control, and terrorism. Special topics of interest focus on the military as a profession, officership, the military justice system, and current issues affecting military professionalism. Within this structure, continued emphasis is given to the refinement of communicative skills. A weekly Leadership Laboratory (LLAB) consisting primarily of advanced leadership experiences in office-type activities is mandatory.","3","",""
"AFAS","402","National Security, Leadership Responsibilities, and Commissioning Preparation II","Examines the need for national security, analyzes the evolution and formulation of the American defense policy, strategy, and joint doctrine; investigates the methods for managing conflict; and overviews regional security, arms control, and terrorism. Special topics of interest focus on the military as a profession, officership, the military justice system, and current issues affecting military professionalism. Within this structure, continued emphasis is given to the refinement of communicative skills. A weekly Leadership Laboratory (LLAB) consisting primarily of advanced leadership experiences in office-type activities is mandatory.","3","",""
"AFAS","403","Leadership Laboratory VII","Consists of activities classified as advanced leadership experiences. They involve planning, organizing, staffing, coordinating, directing, and controlling the military activities of the cadet corps; preparation and presentation of briefings and other oral and written communications; and providing interviews, guidance, and information which will increase the understanding, motivation, and performance of other cadets.","0","",""
"AFAS","404","Leadership Laboratory VIII","Consists of activities classified as advanced leadership experiences. They involve planning, organizing, staffing, coordinating, directing, and controlling the military activities of the cadet corps; preparation and presentation of briefings and other oral and written communications; and providing interviews, guidance, and information which will increase the understanding, motivation, and performance of other cadets.","0","",""
"AFST","160","Art of Africa, Oceania, and Pre-Columbian America","(See ARTH 162 )","3","",""
"AFST","201","Introduction to African American Studies","Multidisciplinary approach to the African American experience through the Civil War period which examines such issues as traditional African societies, the institution of slavery, the development of African American culture, the beginnings of African American protest tradition, and the Civil War and Reconstruction.","3","",""
"AFST","202","Introduction to African American Studies","Multidisciplinary approach to the African American experience from the Civil War through the Civil Rights era which focuses on such topics as African American rural and urban societies, the African American church and education and African American intellectual and protest movements.","3","",""
"AFST","225","Introduction to African Literature","Survey of modern African literature. Course explores the major genres and emphasizes comparative, cross-cultural, and cross-national approaches.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"AFST","226","Introduction to Caribbean Literature","(See ENGL 226 *.)","3","",""
"AFST","230","The Black Experience in Theatre Performance","(See THEA 230 )","3","",""
"AFST","233","Major Black Writers","(See ENGL 233 *.)","3","",""
"AFST","235","Introduction to African Studies","Multidisciplinary approach to the study of African traditions, cultures, religions, political economies, pre-colonial democracies, and states from the first through the 16th century.","3","",""
"AFST","235S","Introduction to African Studies","Multidisciplinary approach to the study of African traditions, cultures, religions, political economies, pre-colonial democracies, and states from the first through the 16th century.","3","",""
"AFST","236","Introduction to African Studies","Multidisciplinary study of Africa and its incorporation into the world economy between the 16th and the 20th century. Includes the rise of nationalism, post-colonial dependency, contemporary problems, and current liberation struggles in various areas of the continent.","3","",""
"AFST","300","The Rise and Fall of Slavery in the United States","(See HIUS 300 *.)","3","",""
"AFST","311","Race in Horror, Sci-Fi, and Thriller","This course engages with a wide-variety cultural material, including literature, films, television series, music, and studio art, to consider how horror, thriller, and sci-fi challenge and explore the social construction of race and its societal impacts. Students will critically examine materials from the early-twentieth century to the present-day related to contexts such as enslavement, scientific racism, and legal injustice with attention to how these and related topics appear in horror, sci-fi, and thriller. Additionally, students will consider questions regarding perspective and affect. Potential materials include works by W. E. B. Du Bois, Misha Green, Jordan Peele, Daniel Glover, Toni Morrison, Octavia Butler, and Tiya Miles.","3","",""
"AFST","313","Social Context of African American Health","This course begins with the African context and imposition of chattel slavery. To that extent, the course examines social, cultural and historical factors affecting the health status of African Americans to the present era. It explores a variety of health-related issues, including the interplay between environment, biology and culture, and popular health practices; folk and popular health practices; structured inequality and oppression; lifestyle, beliefs and values; and the organization and delivery of health care. In particular, the course will explore how various forces (e.g., environmental, structural, social and political states of anti-Black racism-based trauma) have impacted the quest for African American health and well-being. Additionally, the course takes a sociohistorical perspective to engage students in learning about how various systems, institutions, and experiences impact Black health. Some of the more pertinent issues, events, and experiences to be discussed include: the Tuskegee Experiment, Henrietta Lacks, and the realities of  Medical Apartheid,  which reveal some historical grounding for contemporary issues, such as the Flint water crisis, environmental justice, access to healthy foods, and generational trauma. Each of these contribute to the health and vibrancy of African American families and communities.","3","",""
"AFST","314","The Evolution of Gospel Music","(See MUSC 314 )","3","",""
"AFST","315","The African Diaspora","(See ANTH 315 .)","3","",""
"AFST","319","Caribbean Cultures and Societies","(See ANTH 319 .)","3","",""
"AFST","322","Race, Gender, and Medicine","How has the medical industrial complex treated people of color, women, and sexual minorities? We will learn about the history of medical racism and sexism starting with slavery and finish by consideration of present-day challenges to medical equity. We will emphasize issues such as unethical experimentation and gynecological and obstetric racism.","3","",""
"AFST","323","Black Women Writers","What can we learn from Black women writers? How do Black women writers understand questions of gender, labor, and empire? What themes rise in Black women s writing? This course explores these questions and others by analyzing major works of fiction and non-fiction written by Black women from the Civil War through the present-day. Students will be introduced to important literary figures such as Frances E. Watkins Harper, Pauline Hopkins, Toni Morrison, and Edwidge Danticat.","3","",""
"AFST","325","Studies in Black Education","This course explores Black education in the United States, with a primary focus on Black youth and their K-12 educational experiences in public educational settings (e.g., schools and community-based organizations). The course investigates the historical, political, sociological, and psychological issues that impact the educational trajectories, opportunities, and outcomes for Black youth. The approach will be threefold. First, the course will explore what Dr. Carter G. Woodson has articulated as the  miseducation  of Black people, thus identifying how educational sites, teaching, and practices can impact students  attitudes and efforts as well as the resources that are available to them. Second, the course will explore how Blacks have been agentic in their educational efforts, from developing schools and education programs to teaching and educational practices that contribute to their successes. Third, the course will examine the family-community-education nexus and how these connections matter to Black educational experiences.","3","",""
"AFST","329","Black History in Tennessee 1796-198","This course explores Black history in Tennessee, and allows students to engage with the Knoxville TN community partners preserving TN history. Students examine the rich cultural heritage, experiences, contributions and culture of Black people in the state. The course will explore a variety of topics related to the political, social, economic and spiritual history of Black people. As part of the course students spend time working in the Beck Cultural Exchange Center in the city of Knoxville. Students apply the academic knowledge, critical thinking skills, and primary source analysis to meet the needs of this nonprofit community center by helping to organize, document, and digitize materials donated to the archive. Through reflections, assessments, and hands on community archive experiences, students will learn the process and importance of historical preservation while meeting a community need.","03","",""
"AFST","331","Race and Ethnicity in American Literature","(See ENGL 331 *.)","3","",""
"AFST","333","Black American Literature and Aesthetics","(See ENGL 333 *.)","3","",""
"AFST","335","African Literature","Survey of the major works and issues in contemporary African literature. Special emphasis placed on the refashioning of the English language and genre conventions to carry an identifiably African experience; focus may be on fiction and drama, autobiography and memoir, in addition to applicable theory and critical terms.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"AFST","336","Caribbean Literature","(See ENGL 336 *.)","3","",""
"AFST","343","Race and Ethnicity","(See SOCI 343 *.)","3","",""
"AFST","346","African American Religious History","(See HIUS 346 .)","3","",""
"AFST","352","African American Religion in the United States","(See REST 352 .)","3","",""
"AFST","353","Religion, Race, and Ethnicity in North America","(See REST 353 *.)","3","",""
"AFST","353","Religion, Race, and Ethnicity in North America","(See REST 353 *.)","3","",""
"AFST","356","Vodou Gods and Atlantic Perils: African Religions in the New World","(See REST 356 )","3","",""
"AFST","359","African American Intellectual History","This course is designed to explore African American intellectual thought and discourse from the mid-nineteenth century to the present. Students will examine the lives and though of a variety of individuals from a diverse set of backgrounds from thinkers, writers, and artists to social critics, theorists, philosophers, and social scientists. Emphasis will be placed on situating and examining their ideas and sensibilities within their broader historical contexts. Some of the major themes of the course include liberatory ideologies and desires for self-determination, race and racism, equality, and justice as well as self-expression, group solidarity, and activism. The overarching goal of this course is to understand how African American intellectuals have contributed to understanding issues facing African American communities, people within the U.","3","",""
"AFST","363","African Religions in the Western Imagination","(See REST 363 )","3","",""
"AFST","371","African History to 188","(See HIAF 371 .)","03","",""
"AFST","372","African History Since 188","(See HIAF 372 .)","03","",""
"AFST","373","African Religions","(See REST 373 .)","3","",""
"AFST","374","History of the Civil Rights Movement in the United States","(See HIUS 374 .)","3","",""
"AFST","375","African American Women s History from Slavery to the Present","Social, cultural, political, and economic history of black women in the United States from the earliest importation of slaves from Africa and the Caribbean to the present.","3","",""
"AFST","376","The African American Experience from the Colonial Period to the Civil War","(See HIUS 379 .)","3","",""
"AFST","380","The African American Experience from the Civil War to the Present","(See HIUS 380 .)","3","",""
"AFST","381","History of South Africa","(See HIAF 381 .)","3","",""
"AFST","383","Studies in African History","(See HIAF 383 .)","3","",""
"AFST","413","Music and the African Diaspora","(See MUCO 413 *.)","3","",""
"AFST","415","Black American Politics","This course introduces the development, structure, and functioning of Black American politics from the latter 19th century to present. The class explores the construction of blackness, black racial identification, black consciousness, black intragroup relations, black intergroup relations, black political thought, black ideologies, black political preferences, black struggles for political incorporation and representation, the relationship(s) of African Americans to the American political system, and the political development of African Americans. The course builds on a breadth of literature from history, psychology, sociology, and most importantly, political science.","3","",""
"AFST","421","Comparative Studies in African and African American Societies","Comparative studies of African and African American societies in such areas as education, religion, and social stratification. Includes the respective views African Americans and Africans have of each other and the concept of Pan-Africanism.","3","",""
"AFST","425","Black Feminist Theory","This course explores the intersections of race, gender, sexuality, and class as it pertains to African American women. This class explores Black feminist theory across time (from the nineteenth century to the present-day) and genre (nonfiction, novels, poetry, music, and media) with a particular emphasis on contemporary criticism. Students will critically examine a variety of material on the positionality and priorities of African American women and cover topics including, but not limited to, family, political activism, self-care, intellectualism, and womanism. Such material include work by Anna Julia Cooper, Audre Lorde, bell hooks, Toni Morrison, and Tressie McMillan Cottom. Africana Studies.","3","",""
"AFST","430","Black and Indigenous Literatures","This course explores literary depictions of the relationships between Black and Indigenous peoples in the United States. Students will critically examine literary texts and historical documents from the nineteenth century to the present-day related to contexts such as colonialism, enslavement, forced displacement, and empowerment movements with attention to the experiences of Black and Indigenous peoples. Additionally, students will engage with key topics that intersect Africana and Indigenous Studies such as indigeneity, sovereignty, and reparations. Potential texts include works by W. E. B. Du Bois, Carter G. Woodson, Olivia Ward Bush-Banks, Zora Neale Hurston, Toni Morrison, bell hooks, and Tiya Miles.","3","",""
"AFST","433","Africa and the Diaspora","Topics vary depending on instructor but are broadly related to the continent of Africa and the social, cultural, and political development of the continent and its impact on the diaspora.","3","",""
"AFST","434","The Caribbean and the Diaspora","Issues related to people of African descent in the Caribbean. Special consideration is given to the African diaspora.","3","",""
"AFST","435","North America and the Diaspora","Topics vary depending on instructor but are broadly related to people of African descent in North America.","3","",""
"AFST","442","Comparative Poverty and Development","(See SOCI 442 .)","3","",""
"AFST","443","Topics in Black Literature","(See ENGL 443 *.)","3","",""
"AFST","444","Black Masculinities","The objective of this course is to introduce students to the major sociological, historical, and cultural perspectives on African American masculine identity, paying special attention to race and ethnicity. For some, race and/or ethnicity is an inescapable fact of life. For others, race and/or ethnicity is virtually invisible and does not seem to affect their daily experiences. Students will be engaged with critical texts that range from slave narratives and autobiographies to speeches, writings and other contemporary works in a quest to investigate African American masculine identity at different historical points. For instance, we will attempt to answers questions such as: How has masculinity been defined and displayed throughout the African American experience? What forces have impacted these definitions and perceptions? And, how do African American men communicate, recall, and make meaning from these experiences? Upon successful completion of this course, students should be familiar with the social and cultural importance that identity plays in everyday life and how African American men have navigated how they are (re)positioned within American society.","3","",""
"AFST","450","Issues and Topics in African American Studies","Topics vary, but include a variety of problems, issues, and individuals from the field of African American studies.","3","",""
"AFST","452","The Politics of Sub-Saharan Africa","(See POLS 452 .)","3","",""
"AFST","456","Race, Ethnicity, Crime, and Justice","(See SOCI 452 .)","3","",""
"AFST","460","Africana Research Methods","This course will provide students with the building blocks to enable them to read and critique scholarly work in Africans studies as well as to conceptualize and develop their own research proposal. This course provides an overview of social research methods by studying ways researchers formulate research questions, design a research project, collect data, measure aspects of social life, and interpret results. Students will survey and investigate the influences of various methodological approaches and concerns in the discipline; determine their intellectual uses and applications; discuss some of the strengths, benefits, drawbacks, and criticisms of these methods, particularly as they relate to contemporary thinking about local, national, and international Black experiences; and deploy these methodologies in their individual research proposals/projects.","3","",""
"AFST","464","Art of Southern and Eastern Africa","(See ARTH 461 .)","3","",""
"AFST","465","Art and Archaeology of Ancient Africa","(See ARTH 462 .)","3","",""
"AFST","466","Arts of the African Diaspora","(See ARTH 463 .)","3","",""
"AFST","471","African-American Art","(See ARTH 470 .)","3","",""
"AFST","472","Civil Rights Movement","(See SOCI 472 .)","3","",""
"AFST","476","African American Psychology","(See PSYC 476 .)","3","",""
"AFST","480","African American Communities in Urban America","Evaluates the benevolent and historical influence of three major institutions, the church, the family, and the school, upon the African American struggle to survive. Includes political, economic, and social factors utilized by black people in developing coping strategies and mechanisms.","3","",""
"AFST","483","Studies in African History","(See HIAF 484 .)","3","",""
"AFST","484","African American Women in American Society","Focuses on historical and contemporary social, economic, and political factors in American society as they relate to the black woman.","3","",""
"AFST","491","Foreign Study","Repeatability: May be repeated. Maximum 6 hours.","1-6","AFST 201 and AFST 202",""
"AFST","492","Off-Campus Study","Repeatability: May be repeated. Maximum 6 hours.","1-6","AFST 201 and AFST 202",""
"AFST","493","Independent Study","Repeatability: May be repeated. Maximum 6 hours.","1-6","AFST 201 and AFST 202 or AFST 235 and AFST 236",""
"AGNR","100","Student Success in the Herbert College of Agriculture","Orientation and integration into the Herbert College of Agriculture with emphases in academic and career planning, self-exploration, college success strategies, professional development, and cocurricular engagement. Students gain knowledge and experiences that will enhance their transition to college and strategies for holistic college success.","1","",""
"AGNR","101","Introduction to One Health: from Antimicrobial Resistance to Zika with a Side of Thousand Cankers","Humans, animals, plants, and the environment are inextricably linked, with the health of one affecting the health of all. The One Health concept recognizes that health issues must be addressed cohesively instead of independently. This approach is essential considering approximately 70% of emerging infectious disease cases in humans and livestock are a consequence of spillover events from wildlife. Similarly, humans play a role in animal disease emergence by facilitating global transfer of infectious agents, altering landscape conditions, and creating environmental disturbances. Additionally, plant diseases can reduce global agricultural productivity by up to 40% for the five major food crops, undermining our ability to safeguard national and global food security. This course serves as the introductory experience for students considering One Health careers and pursuing the One Health Minor.","3","",""
"AGNR","103","Introduction to Teambuilding","Review of the basic fundamentals of how to work effectively in teams and groups. Basic leadership principles such as communication, leadership styles, trust, and group dynamics are examined through multiple forms of learning activities with a focus on skill sets which can be applied to group formation in community and business environments.","1","",""
"AGNR","117","HCA Honors Freshman Seminar","The freshman seminar will address global challenges in the Food, Agriculture, Natural Resources, and Human Sciences (FANHS) like the  One Health  model. Federal agencies that have historically acted unilaterally are now recognizing that health of animals, people, and the environment are inextricably linked. The  One Health  approach is the collaborative effort of the human health, veterinary health, and environmental health communities to interact on a local, national, and global scales in order to attain and maintain optimal health not only for people, but for domestic, farm, and food animals, wildlife, plants, and environment. This course will focus on research programs in the Institute of Agriculture that approach solving challenges through communication, cooperation, and collaboration across disciplines and institutions, thus maintaining or reducing health risks to animals, humans, the environment and society.","1","",""
"AGNR","180","Global Dynamics: Food, Biodiversity, and the Environment","By 2050, we will be challenged to feed the 9 billion inhabitants of planet Earth. We are charged to accomplish this sustainably while conserving water, atmospheric, and biodiversity resources to maintain healthy ecosystem functions. This course introduces global agriculture and natural resources issues, focusing on the connectedness of cultural, political, historical, and natural factors that drive contemporary innovations and policy in food production and conservation. Students will foster an appreciation for international agriculture and natural resources that empowers students to engage in international activities and make informed consumer and policy choices. May be used as the introductory course option for the minor in International Agriculture and Natural Resources.","3","",""
"AGNR","217","Research Ethics, Compliance, and Methods","Scientific integrity and workplace safety require compliance from all personnel. The challenge of teaching research ethics to novice researchers will be addressed by interaction with compliance personnel, online training (Responsible Conduct of Research - RCR), and case studies. Students will also be required to complete the two research compliance training modules aligned most closely with their major or research interests. This information will be provided to the students either as online modules or in workshops. All students in the course will participate in the ethics and compliance trainings. This course will be offered as a foundational course for the Food, Agricultural, Natural Resource, and Human Sciences Minor and will provide students in that minor with opportunities to identify faculty programs which support their career goals. In addition, this course will provide training for students in funded undergraduate research programs. After the initial ethics and compliance training, students in these program will receive project-specific training as identified by the Principal Investigator(s).","2","",""
